SalesMonth,MonthlyRevenue
2009-12,683504.0099999963
2010-01,555802.6720000128
2010-02,504558.9560000152
2010-03,696978.4709999892
2010-04,591982.0019999986
2010-05,597833.3800000072
2010-06,636371.1300000057
2010-07,589736.1700000031
2010-08,602224.5999999994
2010-09,829013.9509999914
2010-10,1033112.0099999073
2010-11,1166460.0219998749
2010-12,570422.7300000167
2011-01,568101.310000008
2011-02,446084.92000001646
2011-03,594081.7600000132
2011-04,468374.33100001334
2011-05,677355.1500000018
2011-06,660046.0500000115
2011-07,598962.901000014
2011-08,65576.69000000025
